,node_id,prjct_d,vsn,address,dscrptn,strt_tm,end_tms,longitude,latitude
82,001e06113d22,AoT_Chicago,92,Kedzie Ave & 51st St Chicago IL,AoT Chicago (S) [C],3/2/18 0:00,NA,-87.703739,41.800846
83,001e06113ae8,AoT_Chicago,93,"UChicago, Law School Chicago IL",AoT Chicago (S) [C] {UChicago},4/12/18 0:00,NA,-87.599623,41.795436
84,001e06113d20,AoT_Chicago,94,Ohio St & Grand Ave Chicago IL,AoT Chicago (S) [C],5/17/18 0:00,NA,-87.6116431,41.8920031
85,001e06114503,AoT_Chicago,95,Ave O & 126th Chicago IL,AoT Chicago (S) [C],3/2/18 0:00,NA,-87.539374,41.666078
86,001e06113dbc,AoT_Chicago,96,Ave L & 100th St Chicago IL,AoT Chicago (S) [C],3/1/18 0:00,NA,-87.536509,41.713867
87,001e061144c0,AoT_Chicago,97,Pulaski Rd & 71st St Chicago IL,AoT Chicago (S) [C],3/2/18 0:00,NA,-87.72242,41.764122
88,001e06114fcf,AoT_Chicago,98,Lake Shore Drive & Irving Park Rd Chicago IL,AoT Chicago (S) [C],5/7/18 0:00,NA,-87.645248,41.954825
89,001e061146d4,AoT_Chicago,99,Torrence Ave & Brainard Ave Chicago IL,AoT Chicago (S) [C],5/31/18 0:00,NA,-87.559113,41.65849
90,001e06109401,AoT_Chicago,09A,Cottage Grove Ave & 115th St Chicago IL,AoT Chicago (S) [C],5/31/18 0:00,NA,-87.611081,41.685445
91,001e06115382,AoT_Chicago,09B,State St & Monroe St Chicago IL,AoT Chicago (S) [C],3/23/18 0:00,NA,-87.62775,41.88076
92,001e06113cf1,AoT_Chicago,09C,State St & Randolph St Chicago IL,AoT Chicago (S) [C],3/23/18 0:00,NA,-87.627864,41.884688
93,001e06113acb,AoT_Chicago,09D,Ashland Ave & 31st Pl Chicago IL,AoT Chicago (S) [C],4/12/18 0:00,NA,-87.665685,41.839066
94,001e06113f54,AoT_Chicago,0A0,Michigan Ave & Randolph St Chicago IL,AoT Chicago (S) [C],5/7/18 0:00,NA,-87.624577,41.884607
95,001e06114500,AoT_Chicago,0A1,Halsted St & 99th St Chicago IL,AoT Chicago (S) [C],3/13/18 0:00,NA,-87.643099,41.714494
96,001e06113d32,AoT_Chicago,0A2,Western Ave & Addison St Chicago IL,AoT Chicago (S) [C],3/14/18 0:00,NA,-87.688326,41.947066
97,001e061146ba,AoT_Chicago,0A3,Long Ave & Lawrence Ave Chicago IL,AoT Chicago (S) [P],3/15/18 0:00,NA,-87.76257,41.96759
98,001e06113a48,AoT_Chicago,0A4,Western Ave & Roscoe Ave Chicago IL,AoT Chicago (S) [P],3/15/18 0:00,NA,-87.688069,41.943263
99,001e06113ba6,AoT_Chicago,0A5,Ashland Ave & Washington Chicago IL,AoT Chicago (S) [P],3/19/18 0:00,NA,-87.666748,41.883541
100,001e06115379,AoT_Chicago,0A6,N Wells St & W Washington St Chicago IL,AoT Chicago (S) [P],3/27/18 0:00,NA,-87.63387,41.88326
101,001e06114fd6,AoT_Chicago,0A7,Upper Wacker Dr & Randolph St Chicago IL,AoT Chicago (S) [P],5/7/18 0:00,NA,-87.636955,41.88449
102,001e0611463b,AoT_Chicago,0A9,"UChicago, Shapiro Hall Chicago IL",AoT Chicago (S) [CP] {UChicago},12/4/18 0:00,NA,-87.587134,41.789737
103,001e0611536c,AoT_Chicago,0AA,Dearborn St & Lake St Chicago IL,AoT Chicago (S) [P],5/8/18 0:00,NA,-87.62969,41.88575
104,001e06114fd9,AoT_Chicago,0AC,Lake Shore Drive & Fullerton Ave Chicago IL,AoT Chicago (S) [C],6/4/18 0:00,NA,-87.631533,41.92617
105,001e0611850f,AoT_Chicago,0AF,111th St & Martin Luther King Dr Chicago IL,AoT Chicago (S) [CP],6/24/19 0:00,NA,-87.613419,41.692837
106,001e06118501,AoT_Chicago,0B0,Morgan Ave & 63rd St Chicago IL,AoT Chicago (S) [CP],4/25/19 0:00,NA,-87.649145,41.779805
107,001e0611856d,AoT_Chicago,0B3,107th St & Longwood Ave Chicago IL,AoT Chicago (S) [CP],6/25/19 0:00,NA,-87.671154,41.699234
108,001e061184a3,AoT_Chicago,0B4,99th St & Beverly Blvd Chicago IL,AoT Chicago (S) [CP],6/25/19 0:00,NA,-87.659612,41.714021
109,001e06117b44,AoT_Chicago,0B5,95th St & Ashland Ave Chicago IL,AoT Chicago (S) [CP],6/25/19 0:00,NA,-87.66263,41.721301
110,001e061183f3,AoT_Chicago,0B7,103rd & Western Ave Chicago IL,AoT Chicago (S) [CP],6/25/19 0:00,NA,-87.681606,41.706381
111,001e06117b41,AoT_Chicago,0BA,60th & Michigan Ave Chicago IL,AoT Chicago (S) [CP],5/16/19 0:00,NA,-87.622214,41.785715
112,001e061182a1,AoT_Chicago,0BD,Garfield Blvd & Michigan Ave Chicago IL,AoT Chicago (S) [CP],5/16/19 0:00,NA,-87.622479,41.794467
