"GEOID","NAME","mediancomeE","mediancomeM","valueE","valueM","medianyearbuiltE","medianyearbuiltM","NoVehicleE","NoVehicleM"
"20209044102","Census Tract 441.02; Wyandotte County; Kansas",65179,15132,82647400,19461805,1965,2,0,11
"20209044103","Census Tract 441.03; Wyandotte County; Kansas",68397,14328,NA,NA,1980,8,23,28
"20209044104","Census Tract 441.04; Wyandotte County; Kansas",40113,16043,NA,NA,1972,2,179,102
"20209044201","Census Tract 442.01; Wyandotte County; Kansas",67998,11567,NA,NA,1966,3,38,35
"20209044202","Census Tract 442.02; Wyandotte County; Kansas",66111,18876,NA,NA,1966,2,23,33
"20209044301","Census Tract 443.01; Wyandotte County; Kansas",55136,13409,88937900,18215268,1961,6,84,56
"20209044302","Census Tract 443.02; Wyandotte County; Kansas",43686,25799,42189500,9940800,1958,3,0,11
"20209044303","Census Tract 443.03; Wyandotte County; Kansas",50285,7017,NA,NA,1965,4,50,37
"20209044400","Census Tract 444; Wyandotte County; Kansas",55087,8251,126854500,31861318,1957,3,66,61
"20209044500","Census Tract 445; Wyandotte County; Kansas",52708,16380,63595900,14775681,1961,4,57,43
"20209044601","Census Tract 446.01; Wyandotte County; Kansas",79464,34784,NA,NA,1962,7,13,21
"20209044602","Census Tract 446.02; Wyandotte County; Kansas",NA,NA,NA,NA,NA,NA,0,11
"20209044603","Census Tract 446.03; Wyandotte County; Kansas",NA,NA,NA,NA,NA,NA,0,11
"20209044702","Census Tract 447.02; Wyandotte County; Kansas",78526,12920,NA,NA,1983,3,58,49
"20209044703","Census Tract 447.03; Wyandotte County; Kansas",85709,5113,245966800,64737898,2002,5,94,41
"20209044704","Census Tract 447.04; Wyandotte County; Kansas",99375,14151,104258700,22349789,1988,4,8,13
"20209044803","Census Tract 448.03; Wyandotte County; Kansas",109172,4346,764928100,224349735,2005,2,0,16
"20209044804","Census Tract 448.04; Wyandotte County; Kansas",120636,13043,NA,NA,2002,3,25,40
"20209044807","Census Tract 448.07; Wyandotte County; Kansas",111625,15091,NA,NA,1988,5,20,24
"20209044900","Census Tract 449; Wyandotte County; Kansas",69694,14506,NA,NA,1965,6,62,55
"20209045100","Census Tract 451; Wyandotte County; Kansas",43162,15277,NA,NA,1977,3,101,63
"20209045200","Census Tract 452; Wyandotte County; Kansas",51071,22414,150393900,37146920,1948,5,142,96
"20209980000","Census Tract 9800; Wyandotte County; Kansas",NA,NA,NA,NA,NA,NA,0,11
"20209980500","Census Tract 9805; Wyandotte County; Kansas",NA,NA,NA,NA,NA,NA,0,11
"20209980900","Census Tract 9809; Wyandotte County; Kansas",NA,NA,NA,NA,NA,NA,0,11
"20209981200","Census Tract 9812; Wyandotte County; Kansas",NA,NA,NA,NA,NA,NA,0,11
"20209981500","Census Tract 9815; Wyandotte County; Kansas",NA,NA,NA,NA,NA,NA,4,5
