"GEOID","NAME","mediancomeE","mediancomeM","valueE","valueM","medianyearbuiltE","medianyearbuiltM","NoVehicleE","NoVehicleM"
"20173006400","Census Tract 64; Sedgwick County; Kansas",67656,14867,NA,NA,1953,1,21,27
"20173006500","Census Tract 65; Sedgwick County; Kansas",29750,6375,NA,NA,1949,3,47,55
"20173006600","Census Tract 66; Sedgwick County; Kansas",61688,11672,NA,NA,1992,7,0,11
"20173006700","Census Tract 67; Sedgwick County; Kansas",65496,25265,55164200,19681314,1959,2,42,45
"20173006800","Census Tract 68; Sedgwick County; Kansas",26983,7292,NA,NA,1958,2,247,121
"20173006900","Census Tract 69; Sedgwick County; Kansas",48333,9689,64375500,18395275,1957,2,31,35
"20173007000","Census Tract 70; Sedgwick County; Kansas",39175,16926,NA,NA,1963,4,112,90
"20173007101","Census Tract 71.01; Sedgwick County; Kansas",61771,13332,51984500,11234739,1958,2,13,15
"20173007102","Census Tract 71.02; Sedgwick County; Kansas",49300,8798,71837200,27484473,1976,2,108,78
"20173007201","Census Tract 72.01; Sedgwick County; Kansas",102132,21572,467039200,164647759,1998,2,8,13
"20173007205","Census Tract 72.05; Sedgwick County; Kansas",56816,3880,NA,NA,1983,2,181,131
"20173007206","Census Tract 72.06; Sedgwick County; Kansas",67813,12447,106274500,24918946,1985,3,183,103
"20173007207","Census Tract 72.07; Sedgwick County; Kansas",102098,13045,NA,NA,2002,3,0,11
"20173007208","Census Tract 72.08; Sedgwick County; Kansas",105196,11019,NA,NA,2001,2,0,16
"20173007301","Census Tract 73.01; Sedgwick County; Kansas",79776,28851,NA,NA,1974,5,24,25
"20173007302","Census Tract 73.02; Sedgwick County; Kansas",91250,35583,216681500,28276226,1967,2,14,21
"20173007500","Census Tract 75; Sedgwick County; Kansas",41453,12518,NA,NA,1956,1,33,30
"20173007600","Census Tract 76; Sedgwick County; Kansas",65300,17330,NA,NA,1959,3,180,85
"20173007701","Census Tract 77.01; Sedgwick County; Kansas",34668,10845,61604700,22880707,2000,15,40,47
"20173007702","Census Tract 77.02; Sedgwick County; Kansas",51220,17571,197754300,40127631,1986,4,185,151
"20173007800","Census Tract 78; Sedgwick County; Kansas",29286,12604,23305400,6529595,1957,2,42,52
"20173008000","Census Tract 80; Sedgwick County; Kansas",68117,4165,NA,NA,1984,7,9,14
"20173008100","Census Tract 81; Sedgwick County; Kansas",87984,23007,NA,NA,1960,9,21,22
"20173008200","Census Tract 82; Sedgwick County; Kansas",65630,2177,NA,NA,1962,8,37,41
"20173008300","Census Tract 83; Sedgwick County; Kansas",61154,18965,200565900,40393748,1963,5,88,108
"20173008400","Census Tract 84; Sedgwick County; Kansas",54611,2297,NA,NA,1966,3,27,22
"20173008500","Census Tract 85; Sedgwick County; Kansas",51767,8541,88533300,18944397,1958,2,8,13
"20173008600","Census Tract 86; Sedgwick County; Kansas",53158,8874,NA,NA,1967,4,55,34
"20173008700","Census Tract 87; Sedgwick County; Kansas",45726,4005,NA,NA,1969,5,75,38
"20173008800","Census Tract 88; Sedgwick County; Kansas",49577,13975,NA,NA,1962,6,53,44
"20173008900","Census Tract 89; Sedgwick County; Kansas",45203,15560,NA,NA,1970,20,60,52
"20173009000","Census Tract 90; Sedgwick County; Kansas",42545,6516,54814700,9982518,1970,14,38,34
"20173009100","Census Tract 91; Sedgwick County; Kansas",49136,14436,NA,NA,1974,2,44,56
"20173009200","Census Tract 92; Sedgwick County; Kansas",65417,20978,NA,NA,1971,4,29,31
"20173009301","Census Tract 93.01; Sedgwick County; Kansas",48181,3651,NA,NA,1979,4,191,188
"20173009303","Census Tract 93.03; Sedgwick County; Kansas",57169,9693,NA,NA,1982,4,106,78
"20173009304","Census Tract 93.04; Sedgwick County; Kansas",38069,5349,NA,NA,1984,3,63,55
"20173009401","Census Tract 94.01; Sedgwick County; Kansas",86667,27521,NA,NA,1966,2,15,18
"20173009402","Census Tract 94.02; Sedgwick County; Kansas",49922,14128,133276600,46715020,1971,5,84,56
"20173009504","Census Tract 95.04; Sedgwick County; Kansas",72802,16306,284398500,51960480,1986,2,9,14
"20173009505","Census Tract 95.05; Sedgwick County; Kansas",105759,23339,205976800,33771002,1989,2,84,50
"20173009506","Census Tract 95.06; Sedgwick County; Kansas",89200,23140,NA,NA,1988,3,165,250
"20173009507","Census Tract 95.07; Sedgwick County; Kansas",97333,14305,NA,NA,2002,2,6,12
"20173009508","Census Tract 95.08; Sedgwick County; Kansas",76875,21148,NA,NA,1992,5,0,11
"20173009509","Census Tract 95.09; Sedgwick County; Kansas",125109,19494,NA,NA,2006,2,0,16
"20173009510","Census Tract 95.10; Sedgwick County; Kansas",113701,19567,NA,NA,1999,2,0,16
"20173009511","Census Tract 95.11; Sedgwick County; Kansas",95355,8404,502908600,143970577,1994,2,15,19
"20173009512","Census Tract 95.12; Sedgwick County; Kansas",93854,14347,280708400,24609418,1987,2,33,27
"20173009513","Census Tract 95.13; Sedgwick County; Kansas",71326,8522,NA,NA,1986,2,55,58
"20173009514","Census Tract 95.14; Sedgwick County; Kansas",104063,50645,460275900,74483162,1999,3,48,80
"20173009515","Census Tract 95.15; Sedgwick County; Kansas",102832,12753,392199100,35897542,1999,2,24,39
"20173009603","Census Tract 96.03; Sedgwick County; Kansas",88458,8397,NA,NA,1992,3,10,9
"20173009604","Census Tract 96.04; Sedgwick County; Kansas",81125,8019,148026000,29083747,1980,4,31,32
"20173009605","Census Tract 96.05; Sedgwick County; Kansas",117522,11886,NA,NA,1997,5,0,16
"20173009700","Census Tract 97; Sedgwick County; Kansas",104736,26583,469467600,89679103,1991,5,0,16
"20173009801","Census Tract 98.01; Sedgwick County; Kansas",57302,6126,NA,NA,1958,1,69,80
"20173009803","Census Tract 98.03; Sedgwick County; Kansas",78007,17958,262166500,58414819,1983,3,1,3
"20173009804","Census Tract 98.04; Sedgwick County; Kansas",86110,8427,234037600,46812613,1982,4,0,11
"20173009901","Census Tract 99.01; Sedgwick County; Kansas",115219,14506,419171300,51413279,2002,3,0,16
"20173009902","Census Tract 99.02; Sedgwick County; Kansas",69809,15767,376179200,58946035,1981,4,90,68
"20173010001","Census Tract 100.01; Sedgwick County; Kansas",128403,29371,532755400,64395389,1994,2,0,11
"20173010002","Census Tract 100.02; Sedgwick County; Kansas",136146,17690,NA,NA,2002,3,10,16
"20173010003","Census Tract 100.03; Sedgwick County; Kansas",81694,13424,133516400,27955300,1992,2,0,11
"20173010005","Census Tract 100.05; Sedgwick County; Kansas",90000,17112,NA,NA,1990,2,0,11
